row_type,target_frame_rate,game_latency,capture_latency,convert_latency,encode_latency,network_latency,decode_latency,display_latency,dropped,state,minRTT,maxRTT,gain,bitrate,ping,in_bitrate,in_pkts,in_qual,out_bitrate,out_pkts,out_qual,Event Technology,lte_mr_events,nr_mr_events,lte_ho_attempt,lte_ho_result,lte_ho_enb_type,lte_ho_freq_type,lte_ho_band_type,scg_mobility_attempt,scg_mobility_result,scg_mobility_type,menb_ho_attempt,menb_ho_result,menb_ho_type,lte_ho_category,nr_ho_category,time_since_start
slow,,16.08,2.96,0.04,12.16,61.87,1.95,4.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.0
dropped_fps,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.0
dropped_fps,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.0
dropped_fps,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.0
dropped_fps,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.0
dropped_fps,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.0
,,,,,,,,,,,,,,,,,,,,,,NSA,,,attempt,,inter-x2,intra,intra,attempt,,modification,attempt,,intra,nsa_menb_intra,nsa_scgm,45.324779
,,,,,,,,,,,,,,,,,,,,,,NSA,,,,success,,,,,success,,,success,,,,45.369099000000006
target,60.0,15.98,2.96,0.04,12.01,33.3,1.29,3.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.0
socket_stats,,,,,,,,,,,,,,,54.0,18224.2,2501.2,100.0,67.4,70.6,100.0,,,,,,,,,,,,,,,,,47.0
slow,,16.07,2.96,0.03,12.12,34.58,1.46,4.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.0
bitrate_adapter,,,,,,,,,,2.0,52.0,75.0,1.25,21093.0,,,,,,,,,,,,,,,,,,,,,,,,49.0
target,60.0,16.11,2.96,0.04,12.02,32.53,1.39,3.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.0
dropped_fps,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.0
dropped_fps,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.0
dropped_fps,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.0
dropped_fps,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.0
dropped_fps,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.0
dropped_fps,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.0
slow,,16.07,2.97,0.04,12.02,198.44,2.51,6.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.0
dropped_fps,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.0
dropped_fps,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.0
dropped_fps,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.0
bitrate_adapter,,,,,,,,,,2.0,50.0,202.0,0.75,15819.0,,,,,,,,,,,,,,,,,,,,,,,,51.0
,,,,,,,,,,,,,,,,,,,,,,NSA,,,attempt,,inter-x2,intra,intra,attempt,,modification,attempt,,intra,nsa_menb_intra,nsa_scgm,51.34496600000001
,,,,,,,,,,,,,,,,,,,,,,NSA,,,,success,,,,,success,,,success,,,,51.381875
slow,,16.15,2.93,0.04,12.1,47.98,1.9,4.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.0
socket_stats,,,,,,,,,,,,,,,63.0,15975.1,2123.1,100.0,82.3,73.2,100.0,,,,,,,,,,,,,,,,,52.0
target,60.0,16.12,3.0,0.03,11.95,31.67,1.25,4.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.0
bitrate_adapter,,,,,,,,,,2.0,50.0,69.0,1.25,19773.0,,,,,,,,,,,,,,,,,,,,,,,,55.0
socket_stats,,,,,,,,,,,,,,,56.0,15093.4,1970.5,100.0,66.8,64.2,100.0,,,,,,,,,,,,,,,,,58.00000000000001
dropped_fps,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.00000000000001
dropped_fps,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.00000000000001
dropped_fps,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.00000000000001
dropped_fps,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.00000000000001
slow,,16.09,2.97,0.04,12.03,51.25,2.31,10.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.00000000000001
dropped_fps,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.00000000000001
,,,,,,,,,,,,,,,,,,,,,,NSA,,,,,,,,attempt,,modification,,,,,nsa_scgm,59.40399600000001
,,,,,,,,,,,,,,,,,,,,,,NSA,,,,,,,,,success,,,,,,,59.424548
bitrate_adapter,,,,,,,,,,2.0,47.0,159.0,0.75,14829.0,,,,,,,,,,,,,,,,,,,,,,,,60.00000000000001
dropped_fps,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.00000000000001
slow,,16.11,3.0,0.04,11.94,46.6,1.45,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.00000000000001
bitrate_adapter,,,,,,,,,,2.0,47.0,178.0,0.75,11121.0,,,,,,,,,,,,,,,,,,,,,,,,60.00000000000001
dropped_fps,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.00000000000001
dropped_fps,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.00000000000001
,,,,,,,,,,,,,,,,,,,,,,NSA,,,attempt,,inter-x2,intra,intra,attempt,,modification,attempt,,intra,nsa_menb_intra,nsa_scgm,60.245556
,,,,,,,,,,,,,,,,,,,,,,NSA,,,,success,,,,,success,,,success,,,,60.266815
slow,,16.13,2.98,0.04,11.89,35.69,1.58,2.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.00000000000001
slow,,16.1,2.99,0.04,11.99,35.95,1.33,2.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.00000000000001
slow,,16.09,2.97,0.04,11.98,36.2,1.4,3.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.00000000000001
slow,,16.09,2.97,0.04,12.01,35.07,1.28,5.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.0
bitrate_adapter,,,,,,,,,,2.0,47.0,78.0,1.25,13901.0,,,,,,,,,,,,,,,,,,,,,,,,64.0
target,60.0,16.06,2.98,0.04,11.99,34.26,1.22,6.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.0
slow,,16.08,2.95,0.03,11.95,34.93,1.67,8.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.0
target,60.0,16.07,2.96,0.04,12.1,34.28,1.39,7.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.0
bitrate_adapter,,,,,,,,,,2.0,47.0,79.0,1.25,17376.0,,,,,,,,,,,,,,,,,,,,,,,,68.0
slow,,16.1,2.99,0.04,11.99,34.68,1.41,8.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.0
target,60.0,16.11,2.96,0.04,12.0,34.02,1.37,8.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.0
slow,,16.1,2.96,0.04,11.99,34.34,1.5,9.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.0
slow,,16.09,2.98,0.04,12.1,36.35,1.32,9.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.0
bitrate_adapter,,,,,,,,,,2.0,54.0,89.0,1.25,21720.0,,,,,,,,,,,,,,,,,,,,,,,,72.0
slow,,16.09,2.96,0.03,12.08,36.62,1.49,6.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.0
dropped_fps,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.0
slow,,16.11,2.95,0.04,12.03,34.82,1.48,5.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.0
slow,,16.11,2.97,0.04,12.1,34.65,1.4,7.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.0
bitrate_adapter,,,,,,,,,,2.0,55.0,92.0,1.25,27150.0,,,,,,,,,,,,,,,,,,,,,,,,76.0
slow,,16.13,2.95,0.04,12.04,35.76,1.54,8.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.0
slow,,16.12,2.98,0.04,12.08,36.38,1.45,10.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.0
slow,,16.13,2.99,0.03,11.97,36.42,1.65,9.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.0
dropped_fps,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.0
dropped_fps,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.0
dropped_fps,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.0
dropped_fps,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.0
dropped_fps,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.0
bitrate_adapter,,,,,,,,,,2.0,56.0,200.0,0.75,20362.0,,,,,,,,,,,,,,,,,,,,,,,,79.0
slow,,16.1,2.95,0.04,12.17,56.54,1.96,7.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.0
dropped_fps,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.0
,,,,,,,,,,,,,,,,,,,,,,NSA,,,,,,,,attempt,,modification,,,,,nsa_scgm,79.11434100000001
,,,,,,,,,,,,,,,,,,,,,,NSA,,,,,,,,,success,,,,,,,79.199639
slow,,16.11,2.98,0.03,12.07,37.15,1.38,2.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.0
slow,,16.08,2.97,0.04,11.98,36.62,1.55,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.0
slow,,16.1,2.96,0.04,12.02,37.07,1.53,5.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.0
