time_since_start,hw_avg_power,hw_avg_power_rolled,type
10.0,592.087765,592.0788963562,screen_100
11.0,587.90859674,587.9013820391999,screen_100
12.0,568.76910598,568.0229011508,screen_100
13.0,572.42500824,572.7418177605999,screen_100
14.0,588.4093809561912,588.8658032618524,screen_100
15.0,598.0780549,597.9367037656,screen_100
16.0,602.53828788,594.9915701482,screen_100
17.0,828.7206559,835.68001841,screen_100
18.0,575.77177784,576.4675671570001,screen_100
19.0,573.6496794,573.5813878388,screen_100
20.0,583.0825369199999,583.1401588898,screen_100
21.0,573.66174704,571.6491747848,screen_100
22.0,612.332626225245,614.006048414483,screen_100
23.0,594.5998776600001,593.9311579266,screen_100
24.0,568.4152405799999,568.9809142644,screen_100
25.0,620.43188104,618.3515936068001,screen_100
26.0,576.0665643,577.4665724494,screen_100
27.0,584.77299512,583.7253746307999,screen_100
28.0,589.84709018,590.8461576862,screen_100
29.0,643.4885271454291,644.0842111372275,screen_100
30.0,575.77960264,575.911244353,screen_100
31.0,597.5988594600001,598.0210602692,screen_100
32.0,586.41507302,581.0628260778,screen_100
33.0,617.4535191800001,622.6421360621999,screen_100
34.0,568.66069236,567.7050550294,screen_100
35.0,591.87867332,592.815645342,screen_100
36.0,577.60509588,577.6659331924,screen_100
37.0,623.8939786557311,622.5349757751551,screen_100
38.0,578.77227682,579.7031547027999,screen_100
39.0,582.57817794,582.3721948624,screen_100
40.0,581.6731377799999,582.3524752182001,screen_100
41.0,572.38947824,572.0748298862,screen_100
42.0,585.53339896,585.2289633812001,screen_100
43.0,569.75078826,569.917659718,screen_100
44.0,567.5931405081016,567.9490073466693,screen_100
45.0,590.5377728799999,590.4001345180001,screen_100
46.0,569.4441490199999,569.6711456296,screen_100
47.0,565.9477488199999,565.2890857936001,screen_100
48.0,570.43412302,570.5855502634,screen_100
49.0,568.64024156,568.6022746166,screen_100
50.0,580.10181068,580.680636438,screen_100
51.0,573.72880182,572.7849130884,screen_100
52.0,582.0824557111422,582.4235465215044,screen_100
53.0,563.4894239199999,564.0438969406,screen_100
54.0,565.19978582,564.4030336211999,screen_100
55.0,593.1646505,593.5728639148,screen_100
56.0,563.30391878,563.4196273066,screen_100
57.0,559.8671047,559.7004019328,screen_100
58.0,575.21107696,575.4097029592,screen_100
59.0,603.2556229645929,603.233948270054,screen_100
60.0,573.20497646,573.456530941,screen_100
61.0,751.65607986,748.5809839734001,screen_100
62.0,540.44470528,544.1793535086,screen_100
63.0,501.22741056,500.7711347554,screen_100
64.0,503.36644208000007,503.0992316622,screen_100
65.0,508.70680678,508.32816862080006,screen_100
0.0,1286.4359274745052,1286.6879834006882,no_logging
1.0,1246.15273514,1246.2418032042,no_logging
2.0,1184.7442942,1184.9546173708,no_logging
3.0,1313.079084,1311.4775110974,no_logging
4.0,1373.39400924,1373.7353517689999,no_logging
5.0,1299.02177916,1300.0197687472,no_logging
6.0,1214.59834828,1214.2212606164,no_logging
7.0,1341.7863795359071,1341.768554784557,no_logging
8.0,1310.52158796,1309.5852173752,no_logging
9.0,1380.52847488,1380.6014192864002,no_logging
10.0,1269.5312988,1270.5352096754,no_logging
11.0,1279.34089904,1280.2694028292,no_logging
12.0,1204.7452691400001,1203.628392606,no_logging
13.0,1320.3341272399998,1319.1941479888,no_logging
14.0,1339.4408777955591,1340.1296682510501,no_logging
15.0,1270.82954396,1272.2086353446,no_logging
16.0,1190.46098542,1189.6315034098,no_logging
17.0,1249.32190752,1249.6857600068,no_logging
18.0,1383.03472766,1367.6078242613999,no_logging
19.0,2830.62579148,2844.7080245468,no_logging
20.0,1552.68724572,1549.4786203016,no_logging
21.0,1715.02550698,1719.4141346177998,no_logging
22.0,1325.2294055411082,1323.3687345517103,no_logging
23.0,1458.76294102,1454.213107063,no_logging
24.0,1530.94513904,1536.0134554432,no_logging
25.0,1489.69042428,1491.082904942,no_logging
26.0,1323.58884986,1320.783696321,no_logging
27.0,1364.8877772399999,1365.3714161424,no_logging
28.0,1483.69057224,1484.4488487274,no_logging
29.0,1545.333799659932,1545.4518539607923,no_logging
30.0,1433.8272761399999,1432.952242173,no_logging
31.0,1500.07640716,1502.0872133364,no_logging
32.0,1242.5677177999999,1242.921875973,no_logging
33.0,1351.7054506,1350.0269549456,no_logging
34.0,1351.8358410399999,1352.3484553138,no_logging
35.0,1282.9934311000002,1280.6306835441999,no_logging
36.0,1194.5510249600002,1198.7069785178,no_logging
37.0,1275.8487654930987,1275.6756082864572,no_logging
38.0,1278.87303602,1277.3524968342,no_logging
39.0,1384.5109514399999,1384.5338481786,no_logging
40.0,1292.18269222,1293.6969040230001,no_logging
41.0,1242.8177654200001,1239.3731395412,no_logging
42.0,1298.24024776,1301.4847513962,no_logging
43.0,1319.47887328,1318.3006847078,no_logging
44.0,1348.6638180036007,1348.0346536651332,no_logging
45.0,1345.87386354,1346.8981812368,no_logging
46.0,1216.36496002,1216.9332326656001,no_logging
47.0,1211.39877048,1211.661802548,no_logging
48.0,1274.64229948,1272.620894332,no_logging
49.0,1393.48187044,1393.4732025976,no_logging
50.0,1268.1376916,1269.7601014796,no_logging
51.0,1263.4760717,1263.9874692826,no_logging
52.0,1204.3581932386478,1203.7941007333466,no_logging
53.0,1308.1999042,1305.1575983262,no_logging
54.0,1469.12280824,1471.267661803,no_logging
55.0,1274.18722286,1275.4936658366,no_logging
56.0,1227.42365756,1227.5844894565998,no_logging
57.0,1219.5064134,1219.0253175206,no_logging
58.0,1282.1364435,1280.4176240368,no_logging
59.0,1367.3887675935187,1368.0736564934987,no_logging
60.0,1224.21319382,1225.5706544996,no_logging
61.0,1242.01653268,1241.1745536092,no_logging
62.0,1223.92233612,1224.5065090838,no_logging
63.0,1260.896857,1259.157234039,no_logging
64.0,1346.75676054,1347.3947207046,no_logging
65.0,1297.62118562,1298.3261321704001,no_logging
66.0,1241.25302444,1241.3949033275999,no_logging
67.0,1221.9955267653531,1222.5081660982196,no_logging
68.0,1242.6092714,1240.726522416,no_logging
69.0,1404.9189460799998,1404.6495611946,no_logging
70.0,1303.92945602,1305.4138958652002,no_logging
71.0,1240.5187371,1240.0884544538,no_logging
72.0,1201.34829212,1202.0313016696,no_logging
73.0,1283.2163634400001,1280.4511796994,no_logging
74.0,1355.1258944588917,1355.7374804488898,no_logging
75.0,1309.8279438,1312.4720630397999,no_logging
76.0,1191.9995074400001,1190.518120589,no_logging
77.0,1217.56449,1219.1694002908,no_logging
78.0,1268.70679826,1266.3623343008,no_logging
79.0,2710.92986238,2692.9838758634,no_logging
80.0,1369.35870188,1389.8761544666,no_logging
81.0,1849.8041144000001,1846.6259499318,no_logging
82.0,1399.8934124424886,1401.1866955977196,no_logging
83.0,1466.49313818,1463.2673843158,no_logging
84.0,1431.85513814,1433.6155174016,no_logging
85.0,1516.76226822,1518.5517779066,no_logging
86.0,1385.79373252,1384.1093590952,no_logging
87.0,1408.96786858,1411.127983676,no_logging
88.0,1427.17875508,1418.4614861706,no_logging
89.0,1593.8303292658532,1600.9261545769155,no_logging
90.0,1432.40225514,1433.2230593498,no_logging
91.0,1539.7994231,1541.0780562286,no_logging
92.0,1241.6089422,1241.5245181174,no_logging
93.0,1245.95300768,1245.2088127928,no_logging
94.0,1361.26787032,1359.4906824378002,no_logging
95.0,1404.94766738,1405.9198327778001,no_logging
96.0,1195.20151494,1196.7261713646,no_logging
97.0,1279.2319822164434,1278.3664019227845,no_logging
98.0,1261.96276526,1257.6766043897999,no_logging
99.0,1426.90972554,1430.0460452812,no_logging
100.0,1290.0684556600002,1291.461921868,no_logging
101.0,1284.0129732799999,1284.6631148882,no_logging
102.0,1291.38188684,1291.0843098487999,no_logging
103.0,1267.22715926,1265.5170155126,no_logging
104.0,1339.033623844769,1339.932707344669,no_logging
105.0,1331.18051296,1330.1962298066,no_logging
106.0,1214.54761434,1216.1063343742,no_logging
107.0,1275.37463502,1275.9630827322,no_logging
108.0,1212.19963142,1200.4560587117999,no_logging
